intent,question,answer
general,Hi There,"Hello!, How may I assist you today"
general,Hello,"Hi, How would you like my help"
admissions,admission process,You can apply online through the college portal
admissions,How can I apply for admission?,You can apply online through the college portal.
admissions,how to apply for this college?,You can apply online through the college portal
admissions,What documents are required for admission?,"You need marksheets, ID proof, and the application form".
fees,What is the annual fee?,"The annual fee is ₹85,000 for undergraduate programs".
fees,Are scholarships available?,"Yes, merit-based scholarships are available".
fees,How much is fees here,"The annual fee is ₹85,000 for undergraduate programs".
courses,What courses are offered?,"We offer B.Tech, M.Tech, MBA, and MCA programs".
courses,What course is there,"We offer B.Tech, M.Tech, MBA, and MCA programs".
courses,Do you offer doctoral programs?,"Yes, doctoral programs are available in engineering and science".
placements,Which companies visit for placements?,"Top recruiters include Infosys, TCS, Wipro, and Deloitte".
placements,What is the average placement package?,"The average package is ₹6 LPA, with the highest up to ₹25 LPA".
Internships,What companies come for internship?,Start ups and established firms also deliver internshipand also stipend is available.
Internships,What about internships?,Start ups and established firms also deliver internshipand also stipend is available.
admissions,How can I apply for admission?,You can apply online through the college portal.
admissions,What’s the admission process?,You can apply online through the college portal.
admissions,How do I get into this college?,You can apply online through the college portal.
admissions,Where can I find the application form?,The application form is available on the college website.
admissions,What documents are needed for admission?,"You’ll need marksheets, ID proof, and the application form".
admissions,When does admission start?,Admissions usually open in May and close by July.
admissions,Is there an entrance exam?,"Yes, some programs require an entrance exam".
admissions,Can I apply offline?,Applications are accepted online only.
admissions,What are the eligibility criteria?,Eligibility depends on the program; check the admissions page.
admissions,How do I check my admission status?,You can track your application on the college portal.
admissions,Is there a management quota?,"Yes, limited seats are available under management quota".
admissions,Can I apply for multiple courses?"Yes, you can apply for more than one course".
admissions,What’s the last date to apply?"The last date is usually announced on the college website".
admissions,Do you have direct admission?,Direct admission is available for certain programs.
admissions,How do I pay the application fee?,You can pay online through the portal using debit or credit card.
admissions,Can I edit my application after submission?,"Yes, you can edit it before the deadline".
admissions,Is there any counseling process?,"Yes, counseling is conducted after entrance results".
admissions,How do I get admission confirmation?,You’ll receive an email once your admission is approved.
admissions,What’s the intake capacity?,It varies by department and program.
admissions,Are international students accepted?,"Yes, international students can apply through the global admissions section".
admissions,Can I apply with provisional marks?,"Yes, provisional marks are accepted initially".
admissions,Is there any age limit for admission?,"No, there’s no strict age limit".
admissions,How do I contact the admissions office?,You can reach them via the contact page on the website.
admissions,Is there any scholarship during admission?,"Yes, merit-based scholarships are available for new applicants".
